Date,Phase1,Phase
1/1/17,0.08,0.08
1/2/17,0.15,0.15
1/3/17,0.23,0.23
1/4/17,0.33,0.33
1/5/17,0.43,0.43
1/6/17,0.54,0.54
1/7/17,0.66,0.66
1/8/17,0.76,0.76
1/9/17,0.85,0.85
1/10/17,0.93,0.93
1/11/17,0.98,0.98
1/12/17,1,0.99
1/13/17,0.99,1.01
1/14/17,0.96,1.04
1/15/17,0.91,1.09
1/16/17,0.84,1.16
1/17/17,0.76,1.24
1/18/17,0.66,1.34
1/19/17,0.57,1.43
1/20/17,0.47,1.53
1/21/17,0.38,1.62
1/22/17,0.29,1.71
1/23/17,0.21,1.79
1/24/17,0.14,1.86
1/25/17,0.08,1.92
1/26/17,0.03,1.97
1/27/17,0.01,1.99
1/28/17,0,0.01
1/29/17,0.02,0.02
1/30/17,0.05,0.05
1/31/17,0.11,0.11
2/1/17,0.19,0.19
2/2/17,0.29,0.29
2/3/17,0.39,0.39
2/4/17,0.5,0.5
2/5/17,0.62,0.62
2/6/17,0.73,0.73
2/7/17,0.82,0.82
2/8/17,0.9,0.9
2/9/17,0.96,0.96
2/10/17,0.99,0.99
2/11/17,1,1
2/12/17,0.98,1.02
2/13/17,0.95,1.05
2/14/17,0.89,1.11
2/15/17,0.82,1.18
2/16/17,0.74,1.26
2/17/17,0.65,1.35
2/18/17,0.56,1.44
2/19/17,0.46,1.54
2/20/17,0.37,1.63
2/21/17,0.28,1.72
2/22/17,0.2,1.8
2/23/17,0.13,1.87
2/24/17,0.07,1.93
2/25/17,0.02,1.98
2/26/17,0,0
2/27/17,0,0.02
2/28/17,0.03,0.03
3/1/17,0.08,0.08
3/2/17,0.16,0.16
3/3/17,0.25,0.25
3/4/17,0.36,0.36
3/5/17,0.47,0.47
3/6/17,0.58,0.58
3/7/17,0.69,0.69
3/8/17,0.79,0.79
3/9/17,0.87,0.87
3/10/17,0.94,0.94
3/11/17,0.98,0.98
3/12/17,1,1
3/13/17,1,1.01
3/14/17,0.97,1.03
3/15/17,0.93,1.07
3/16/17,0.88,1.12
3/17/17,0.81,1.19
3/18/17,0.73,1.27
3/19/17,0.64,1.36
3/20/17,0.54,1.46
3/21/17,0.45,1.55
3/22/17,0.35,1.65
3/23/17,0.26,1.74
3/24/17,0.18,1.82
3/25/17,0.1,1.9
3/26/17,0.05,1.95
3/27/17,0.01,1.99
3/28/17,0,0.01
3/29/17,0.02,0.02
3/30/17,0.06,0.06
3/31/17,0.13,0.13
4/1/17,0.22,0.22
4/2/17,0.33,0.33
4/3/17,0.44,0.44
4/4/17,0.55,0.55
4/5/17,0.66,0.66
4/6/17,0.76,0.76
4/7/17,0.84,0.84
4/8/17,0.91,0.91
4/9/17,0.96,0.96
4/10/17,0.99,0.99
4/11/17,1,1
4/12/17,0.99,1.01
4/13/17,0.96,1.04
4/14/17,0.92,1.08
4/15/17,0.86,1.14
4/16/17,0.79,1.21
4/17/17,0.71,1.29
4/18/17,0.62,1.38
4/19/17,0.52,1.48
4/20/17,0.42,1.58
4/21/17,0.32,1.68
4/22/17,0.23,1.77
4/23/17,0.14,1.86
4/24/17,0.07,1.93
4/25/17,0.03,1.97
4/26/17,0,1.99
4/27/17,0.01,0.01
4/28/17,0.05,0.05
4/29/17,0.11,0.11
4/30/17,0.19,0.19
5/1/17,0.29,0.29
5/2/17,0.4,0.4
5/3/17,0.51,0.51
5/4/17,0.62,0.62
5/5/17,0.72,0.72
5/6/17,0.8,0.8
5/7/17,0.88,0.88
5/8/17,0.93,0.93
5/9/17,0.97,0.97
5/10/17,0.99,0.99
5/11/17,1,1.01
5/12/17,0.98,1.02
5/13/17,0.95,1.05
5/14/17,0.9,1.1
5/15/17,0.84,1.16
5/16/17,0.77,1.23
5/17/17,0.68,1.32
5/18/17,0.58,1.42
5/19/17,0.48,1.52
5/20/17,0.38,1.62
5/21/17,0.28,1.72
5/22/17,0.18,1.82
5/23/17,0.1,1.9
5/24/17,0.04,1.96
5/25/17,0.01,1.99
5/26/17,0,0.01
5/27/17,0.03,0.03
5/28/17,0.09,0.09
5/29/17,0.16,0.16
5/30/17,0.26,0.26
5/31/17,0.36,0.36
6/1/17,0.47,0.47
6/2/17,0.57,0.57
6/3/17,0.67,0.67
6/4/17,0.76,0.76
6/5/17,0.84,0.84
6/6/17,0.9,0.9
6/7/17,0.95,0.95
6/8/17,0.98,0.98
6/9/17,1,0.99
6/10/17,0.99,1.01
6/11/17,0.97,1.03
6/12/17,0.94,1.06
6/13/17,0.88,1.12
6/14/17,0.81,1.19
6/15/17,0.73,1.27
6/16/17,0.63,1.37
6/17/17,0.53,1.47
6/18/17,0.42,1.58
6/19/17,0.31,1.69
6/20/17,0.21,1.79
6/21/17,0.13,1.87
6/22/17,0.06,1.94
6/23/17,0.01,1.99
6/24/17,0,0.01
6/25/17,0.02,0.02
6/26/17,0.06,0.06
6/27/17,0.13,0.13
6/28/17,0.22,0.22
6/29/17,0.32,0.32
6/30/17,0.42,0.42
7/1/17,0.52,0.52
7/2/17,0.62,0.62
7/3/17,0.71,0.71
7/4/17,0.79,0.79
7/5/17,0.86,0.86
7/6/17,0.92,0.92
7/7/17,0.96,0.96
7/8/17,0.99,0.99
7/9/17,1,1
7/10/17,0.99,1.01
7/11/17,0.96,1.04
7/12/17,0.91,1.09
7/13/17,0.85,1.15
7/14/17,0.77,1.23
7/15/17,0.67,1.33
7/16/17,0.57,1.43
7/17/17,0.46,1.54
7/18/17,0.34,1.66
7/19/17,0.24,1.76
7/20/17,0.15,1.85
7/21/17,0.07,1.93
7/22/17,0.02,1.98
7/23/17,0,1.99
7/24/17,0.01,0.01
7/25/17,0.04,0.04
7/26/17,0.1,0.1
7/27/17,0.18,0.18
7/28/17,0.27,0.27
7/29/17,0.36,0.36
7/30/17,0.46,0.46
7/31/17,0.56,0.56
8/1/17,0.65,0.65
8/2/17,0.74,0.74
8/3/17,0.82,0.82
8/4/17,0.88,0.88
8/5/17,0.94,0.94
8/6/17,0.98,0.98
8/7/17,1,0.99
8/8/17,1,1
8/9/17,0.98,1.02
8/10/17,0.94,1.06
8/11/17,0.88,1.12
8/12/17,0.8,1.2
8/13/17,0.7,1.3
8/14/17,0.6,1.4
8/15/17,0.48,1.52
8/16/17,0.37,1.63
8/17/17,0.26,1.74
8/18/17,0.17,1.83
8/19/17,0.09,1.91
8/20/17,0.03,1.97
8/21/17,0,1.99
8/22/17,0,0.01
8/23/17,0.03,0.03
8/24/17,0.07,0.07
8/25/17,0.14,0.14
8/26/17,0.21,0.21
8/27/17,0.3,0.3
8/28/17,0.39,0.39
8/29/17,0.49,0.49
8/30/17,0.58,0.58
8/31/17,0.67,0.67
9/1/17,0.76,0.76
9/2/17,0.84,0.84
9/3/17,0.9,0.9
9/4/17,0.95,0.95
9/5/17,0.99,0.99
9/6/17,1,1
9/7/17,0.99,1.01
9/8/17,0.96,1.04
9/9/17,0.9,1.1
9/10/17,0.82,1.18
9/11/17,0.73,1.27
9/12/17,0.62,1.38
9/13/17,0.51,1.49
9/14/17,0.39,1.61
9/15/17,0.29,1.71
9/16/17,0.19,1.81
9/17/17,0.11,1.89
9/18/17,0.05,1.95
9/19/17,0.01,1.99
9/20/17,0,0
9/21/17,0.01,0.01
9/22/17,0.04,0.04
9/23/17,0.1,0.1
9/24/17,0.16,0.16
9/25/17,0.24,0.24
9/26/17,0.32,0.32
9/27/17,0.42,0.42
9/28/17,0.51,0.51
